System,Type,Count,Group
AXIS,Test,136,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Improvement,4001,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,New Feature,1314,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Task,1123,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Wish,118,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Bug,15674,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Test,188,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Improvement,4881,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,New Feature,1544,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Task,1180,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Wish,189,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Bug,16821,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Test,198,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Improvement,5225,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,New Feature,1616,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Task,1227,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Wish,198,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXIS2C,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Bug,17559,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Test,232,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Improvement,5386,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,New Feature,1665,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Task,1252,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Wish,222,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AXISCPP,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Bug,18540,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Test,232,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Improvement,5466,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,New Feature,1666,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Task,1252,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Wish,223,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BATIK,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Bug,18694,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Test,232,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Improvement,5484,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,New Feature,1666,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Task,1252,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Wish,223,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BCEL,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Bug,18981,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Test,232,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Improvement,5614,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,New Feature,1693,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Task,1257,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Wish,228,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEANUTILS,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Bug,19895,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Test,256,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Improvement,5831,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Question,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,New Feature,1732,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Task,1285,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Wish,237,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Brainstorming,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Documentation,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Story,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,Dependency upgrade,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
BEEHIVE,New JIRA Project,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
